Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Portland,OR,11,Yes,police-department,OR0260200,5238,444,784,9,168,1,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,98,168,7,39,1,,,,,985,93,115,1,32,0,,,,,1149,126,95,1,39,0,,,,,903,68,113,0,24,0,,,,,739,49,225,0,30,0,,,,,301,10,68,0,4,0,,,,,,,,,,,,,,,alliemonck: have good data by year but broken down by allegations,alliemonck,@MaryHammond,Checked,Good,,,@MaryHammond,,,5238,444,784,9,168,1,,,,,2016-21,660216
Denver,CO,12,Yes,police-department,CODPD0000,1342,169,25,0,2,0,10,0,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,31,,,,,,,,,407,57,,,,,,,,,323,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,42,25,0,2,0,10,0,,,,,,,,,,,,,"alliemonck: complaints sustained calculated from percentages that ""resulted in one or more sustained specifications"" (allegation)",alliemonck,@MaryHammond,Checked,Good,Good,,,,,1342,169,25,0,2,0,10,0,,,2016-21,737709
Tulsa,OK,13,Yes,police-department,OK0720500,1092,22,,,,,63,9,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,5,,,,,19,3,,,381,6,,,,,21,2,,,350,11,,,,,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: sustained complaints comes from the number that had investigations opened,alliemonck,@MaryHammond,Checked,Good,Good,,,,,1092,22,,,,,63,9,,,2016-21,396150
Eugene,OR,14,Yes,police-department,OR0200200,160,68,12,1,4,0,12,2,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,24,6,0,3,0,5,0,,,41,17,4,1,,,4,2,,,48,27,2,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: all numbers ALLEGATIONS,alliemonck,"@MaryHammond - not seeing how Columns G-J, L were determined",Added charts to the google doc where the numbers for those columns are sourced.,Good,total #s don't match - this side using allegations,,maryhammond,,,160,68,12,1,4,0,12,2,,,2016-21,174513
Memphis,TN,15,Yes,police-department,TNMPD0000,2655,156,301,32,,,,,,,2017-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,4,,,,,,,503,23,40,2,,,,,,,511,36,49,5,,,,,,,587,22,40,3,,,,,,,488,36,59,9,,,,,,,566,39,47,9,,,,,,,609,72,67,4,1,0,0,0,,,alliemonck: no data,alliemonck;samswey,@MaryHammond - Memphis not listed on source doc,,Need table,,,@MaryHammond,,,2655,156,301,32,,,,,,,2016-21,650937
Orange,FL,16,Yes,sheriff,FL0480000,4069,446,92,9,22,0,7,1,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,525,17,,,,,,,,,378,10,,,,,,,,,389,21,,,,,,,,,406,39,11,0,,,,,,,430,35,17,0,,,,,,,581,62,12,1,,,2,1,,,645,88,6,0,,,5,0,,,715,174,26,8,9,0,,,,,683,,20,0,13,0,,,,,,,,,,,,,,,"alliemonck: 2018-709 citizen concerns, do we count?",alliemonck;samswey,@MaryHammond,Checked,Good,,,,,,4069,446,92,9,22,0,7,1,,,2016-21,905376
Minneapolis,MN,17,Yes,police-department,MN0271100,1982,212,208,9,56,2,31,7,,,2016-21,Obtained from the Police Department,https://www.minneapolismn.gov/government/government-data/datasource/office-of-police-conduct-review-dashboard/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,38,66,4,19,1,3,1,,,233,20,33,0,8,0,6,0,,,366,17,39,1,11,1,3,2,,,388,53,30,4,11,0,6,2,,,451,52,9,0,5,0,0,2,,,322,32,31,0,2,0,13,0,,,,,,,,,,,,,alliemonck: not completely clear if complaints are entirely external - source: http://www2.minneapolismn.gov/civilrights/policereview/opcr-data,alliemonck,@MaryHammond - source link no longer works. I tried https://www.minneapolismn.gov/government/departments/police/ but could not find info to verify numbers in Columns E-F and I-J. Also not seeing how Column H was determined,,Need table,Good,,@MaryHammond,,,1982,212,208,9,56,2,31,7,,,2016-21,435116
Sacramento,CA,18,Yes,sheriff,CA0340000,1545,38,,,65,0,106,1,416,13,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1pADZWmmfv6si0Q4ef09Nqgq7IpdC4EOKC28IU5eTol0/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,2,,,14,0,58,1,81,2,325,14,,,10,0,47,0,86,6,303,3,,,8,0,0,0,79,1,205,6,,,5,0,1,0,47,2,191,3,,,4,0,0,0,45,1,347,10,,,24,0,0,0,78,1,414,30,,,22,0,0,0,90,10,"alliemonck: no clear breakdown by year, city has allegations data",alliemonck;samswey,@MaryHammond,Checked,Good,,,,,,1545,38,,,65,0,106,1,416,13,2016-21,657602
Houston,TX,19,Yes,police-department,TXHPD0000,1712,654,229,6,50,0,27,1,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,111,102,3,2,0,,,,,248,124,93,3,3,0,,,,,277,144,,,18,0,,,,,276,115,,,17,0,,,,,,,,,,,,,,,654,160,34,0,10,0,27,1,,,496,102,49,,6,0,10,0,,,samswey: uses total complaints and sustained cases data,alliemonck;samswey,@MaryHammond,Checked,Good - corrected date range,Good,,,*allegation level data,,1712,654,229,6,50,0,27,1,,,2015-19,2297580
San Jose,CA,20,Yes,police-department,CA0431300,1399,119,186,3,158,0,39,1,15,0,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1xgmG0LZjnJzO1ncvah9Vaihqfpqat3adQKhc6bpgzdw/edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,29,60,1,35,,,,,,222,37,33,0,33,,,,,,248,22,46,1,,,,,,,69,7,47,1,33,0,,,,,247,11,,,52,0,16,0,7,0,321,13,,,73,0,23,1,8,0,352,11,,,43,0,24,1,1,0,alliemonck: INDIVIDUALIZED,alliemonck;samswey,@MaryHammond,"Corrected the source links via the WayBack machine, needs to be checked","Good - only listed info in ""How Calculated"" Doc",,,@MaryHammond,,,1399,119,186,3,158,0,39,1,15,0,2016-21,1029542
Nashville Metropolitan,TN,21,Yes,police-department,TN0190100,2537,326,15,3,228,6,240,51,,,2013-17,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,547,65,6,0,50,0,60,11,,,580,75,3,2,35,2,43,14,,,662,82,1,0,61,3,60,14,,,464,60,4,1,55,0,51,7,,,284,44,1,0,27,1,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - unable to verify data; numbers appear to be in allegations not complaints,"Updated the google doc with the information, needs to be checked",Good - changed total #,Good,,,,,2537,326,15,3,228,6,240,51,,,2016-21,688013
Baltimore,MD,22,Yes,police-department,MDBPD0000,2752,392,279,6,42,1,411,65,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,68,72,1,8,1,104,10,,,440,119,58,0,5,0,78,19,,,420,82,46,0,4,0,88,24,,,939,104,74,5,19,0,90,10,,,541,19,29,0,6,0,51,2,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - unable to verify data; numbers appear to be in allegations not complaints,"Revised, new numbers posted in google doc. Needs to be checked.",Good,,,,,,2752,392,279,6,42,1,411,65,,,2016-21,588594
Harris,TX,23,Yes,sheriff,TX1010000,684,193,0,3,0,0,0,1,,,2015-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,684,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,3,,0,,1,,,,,,,,,,,,,alliemonck: no complaints data?,alliemonck,@MaryHammond - unclear how Columns G-H and K-L were determined,Removed numbers that weren't able to be verified,Good,,,,,,684,193,0,3,0,0,0,1,,,2016-21,1965544
Washington,DC,24,Yes,police-department,DCMPD0000,1909,230,,,,,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,50,,,,,,,,,206,59,,,,,,,,,664,75,,,,,,,,,767,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no clear breakdown by year.,alliemonck,@MaryHammond,Checked,Good,Fact-checked individual years @MaryHammond,@MaryHammond,,,,1909,230,,,,,,,,,2016-21,712816
Vancouver,WA,25,Yes,police-department,WA0060300,935,24,,,,,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,1,,,,,,,,,185,5,,,,,,,,,322,7,,,,,,,,,274,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: only total complaints and total sustained, no breakdown",alliemonck,@MaryHammond - not seeing how Columns G-H were determined,"Removed columns G-H, which referred to Clark County Sheriff's data",Good - updated with 2019 data,Good,,,,,935,24,,,,,,,,,2016-21,186440
