"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"ATLANTA POLICE DEPARTMENT","GA","ATLANTA POLICE DEPARTMENTGA","GAAPD0000",474201
"KANSAS CITY POLICE DEPARTMENT","MO","KANSAS CITY POLICE DEPARTMENTMO","MOKPD0000",318398
"RALEIGH POLICE DEPARTMENT","NC","RALEIGH POLICE DEPARTMENTNC","NC0920100",480964
"MIAMI POLICE DEPARTMENT","FL","MIAMI POLICE DEPARTMENTFL","FL0130600",476102
"COLORADO SPRINGS POLICE DEPARTMENT","CO","COLORADO SPRINGS POLICE DEPARTMENTCO","CO0210100",485083
"LONG BEACH POLICE DEPARTMENT","CA","LONG BEACH POLICE DEPARTMENTCA","CA0194100",462654
"OMAHA POLICE DEPARTMENT","NE","OMAHA POLICE DEPARTMENTNE","NB0280200",480297
"VIRGINIA BEACH POLICE DEPARTMENT","VA","VIRGINIA BEACH POLICE DEPARTMENTVA","VA1280000",450858
"OAKLAND POLICE DEPARTMENT","CA","OAKLAND POLICE DEPARTMENTCA","CA0010900",437923
"MINNEAPOLIS POLICE DEPARTMENT","MN","MINNEAPOLIS POLICE DEPARTMENTMN","MN0271100",435116
"TULSA POLICE DEPARTMENT","OK","TULSA POLICE DEPARTMENTOK","OK0720500",396150
"ARLINGTON POLICE DEPARTMENT","TX","ARLINGTON POLICE DEPARTMENTTX","TX2200100",402700
"NEW ORLEANS POLICE DEPARTMENT","LA","NEW ORLEANS POLICE DEPARTMENTLA","LANPD0000",393779
"TAMPA POLICE DEPARTMENT","FL","TAMPA POLICE DEPARTMENTFL","FL0290200",407350
"WICHITA POLICE DEPARTMENT","KS","WICHITA POLICE DEPARTMENTKS","KS0870300",390746
"BAKERSFIELD POLICE DEPARTMENT","CA","BAKERSFIELD POLICE DEPARTMENTCA","CA0150200",388265
"CLEVELAND POLICE DEPARTMENT","OH","CLEVELAND POLICE DEPARTMENTOH","OHCLP0000",379121
"AURORA POLICE DEPARTMENT","CO","AURORA POLICE DEPARTMENTCO","CO0010100",334644
"ANAHEIM POLICE DEPARTMENT","CA","ANAHEIM POLICE DEPARTMENTCA","CA0300100",351913
"SANTA ANA POLICE DEPARTMENT","CA","SANTA ANA POLICE DEPARTMENTCA","CA0301900",333107
"RIVERSIDE POLICE DEPARTMENT","CA","RIVERSIDE POLICE DEPARTMENTCA","CA0331300",334370
"CORPUS CHRISTI POLICE DEPARTMENT","TX","CORPUS CHRISTI POLICE DEPARTMENTTX","TX1780200",329050
"LEXINGTON DIVISION OF POLICE","KY","LEXINGTON DIVISION OF POLICEKY","KY0340200",325851
"STOCKTON POLICE DEPARTMENT","CA","STOCKTON POLICE DEPARTMENTCA","CA0390500",314981
"ST. PAUL POLICE DEPARTMENT","MN","ST. PAUL POLICE DEPARTMENTMN","MN0620900",309859
"HENDERSON POLICE DEPARTMENT","NV","HENDERSON POLICE DEPARTMENTNV","NV0020300",328056
"ST. LOUIS (CITY) POLICE DEPARTMENT","MO","ST. LOUIS (CITY) POLICE DEPARTMENTMO","MOSPD0000",298422
"PITTSBURGH POLICE DEPARTMENT","PA","PITTSBURGH POLICE DEPARTMENTPA","PAPPD0000",298608
"CINCINNATI POLICE DEPARTMENT","OH","CINCINNATI POLICE DEPARTMENTOH","OHCIP0000",304724
"GREENSBORO POLICE DEPARTMENT","NC","GREENSBORO POLICE DEPARTMENTNC","NC0410200",299887
"ANCHORAGE POLICE DEPARTMENT","AK","ANCHORAGE POLICE DEPARTMENTAK","AK0010100",286388
"PLANO POLICE DEPARTMENT","TX","PLANO POLICE DEPARTMENTTX","TX0430600",284611
"LINCOLN POLICE DEPARTMENT","NE","LINCOLN POLICE DEPARTMENTNE","NB0550100",292600
"IRVINE POLICE DEPARTMENT","CA","IRVINE POLICE DEPARTMENTCA","CA0302600",297069
"ORLANDO POLICE DEPARTMENT","FL","ORLANDO POLICE DEPARTMENTFL","FL0480400",293363
"NEWARK POLICE","NJ","NEWARK POLICENJ","NJNPD0000",282242
"TOLEDO POLICE DEPARTMENT","OH","TOLEDO POLICE DEPARTMENTOH","OH0480700",271237
"CHULA VISTA POLICE DEPARTMENT","CA","CHULA VISTA POLICE DEPARTMENTCA","CA0370200",278027
"DURHAM POLICE DEPARTMENT","NC","DURHAM POLICE DEPARTMENTNC","NC0320100",284892
"JERSEY CITY POLICE","NJ","JERSEY CITY POLICENJ","NJ0090600",263273
"FORT WAYNE POLICE","IN","FORT WAYNE POLICEIN","IN0020100",272270
"ST. PETERSBURG POLICE DEPARTMENT","FL","ST. PETERSBURG POLICE DEPARTMENTFL","FL0521400",267690
"LAREDO POLICE DEPARTMENT","TX","LAREDO POLICE DEPARTMENTTX","TX2400100",265515
"MADISON POLICE DEPARTMENT","WI","MADISON POLICE DEPARTMENTWI","WI0130100",262736
"BUFFALO POLICE DEPARTMENT","NY","BUFFALO POLICE DEPARTMENTNY","NY0140100",254627
"LUBBOCK POLICE DEPARTMENT","TX","LUBBOCK POLICE DEPARTMENTTX","TX1520200",262146
"CHANDLER POLICE DEPARTMENT","AZ","CHANDLER POLICE DEPARTMENTAZ","AZ0070500",264071
"SCOTTSDALE POLICE DEPARTMENT","AZ","SCOTTSDALE POLICE DEPARTMENTAZ","AZ0072500",263006
"RENO POLICE DEPARTMENT","NV","RENO POLICE DEPARTMENTNV","NV0160100",259168
"GLENDALE POLICE DEPARTMENT","AZ","GLENDALE POLICE DEPARTMENTAZ","AZ0071300",255468
"GILBERT POLICE DEPARTMENT","AZ","GILBERT POLICE DEPARTMENTAZ","AZ0071100",259629
"NORTH LAS VEGAS POLICE DEPARTMENT","NV","NORTH LAS VEGAS POLICE DEPARTMENTNV","NV0020200",256217
"WINSTON-SALEM POLICE DEPARTMENT","NC","WINSTON-SALEM POLICE DEPARTMENTNC","NC0340200",250021
"MOBILE POLICE DEPARTMENT","AL","MOBILE POLICE DEPARTMENTAL","AL0020100",243900
"NORFOLK POLICE DEPARTMENT","VA","NORFOLK POLICE DEPARTMENTVA","VA1170000",242516
"IRVING POLICE DEPARTMENT","TX","IRVING POLICE DEPARTMENTTX","TX0571500",242976
"CHESAPEAKE POLICE DEPARTMENT","VA","CHESAPEAKE POLICE DEPARTMENTVA","VA1030000",247118
"SAVANNAH-CHATHAM METROPOLITAN POLICE DEPARTMENT","GA","SAVANNAH-CHATHAM METROPOLITAN POLICE DEPARTMENTGA","GA0250300",237691
"HIALEAH POLICE DEPARTMENT","FL","HIALEAH POLICE DEPARTMENTFL","FL0130400",234235
"GARLAND POLICE DEPARTMENT","TX","GARLAND POLICE DEPARTMENTTX","TX0571100",241455
"FREMONT POLICE DEPARTMENT","CA","FREMONT POLICE DEPARTMENTCA","CA0010500",244259
"RICHMOND POLICE DEPARTMENT","VA","RICHMOND POLICE DEPARTMENTVA","VA1220000",233350
"BOISE POLICE DEPARTMENT","ID","BOISE POLICE DEPARTMENTID","ID0010100",231223
"BATON ROUGE POLICE DEPARTMENT","LA","BATON ROUGE POLICE DEPARTMENTLA","LA0170200",219245
"DES MOINES POLICE DEPARTMENT","IA","DES MOINES POLICE DEPARTMENTIA","IA0770300",215059
"SPOKANE POLICE DEPARTMENT","WA","SPOKANE POLICE DEPARTMENTWA","WA0320400",223524
"SAN BERNARDINO POLICE DEPARTMENT","CA","SAN BERNARDINO POLICE DEPARTMENTCA","CA0361000",216365
"MODESTO POLICE DEPARTMENT","CA","MODESTO POLICE DEPARTMENTCA","CA0500200",216560
"TACOMA POLICE DEPARTMENT","WA","TACOMA POLICE DEPARTMENTWA","WA0270300",220123
"FONTANA POLICE DEPARTMENT","CA","FONTANA POLICE DEPARTMENTCA","CA0360400",216553
"OXNARD POLICE DEPARTMENT","CA","OXNARD POLICE DEPARTMENTCA","CA0560400",210064
"BIRMINGHAM POLICE DEPARTMENT","AL","BIRMINGHAM POLICE DEPARTMENTAL","AL0010200",207443
"FAYETTEVILLE POLICE DEPARTMENT","NC","FAYETTEVILLE POLICE DEPARTMENTNC","NC0260100",212033
"ROCHESTER POLICE DEPARTMENT","NY","ROCHESTER POLICE DEPARTMENTNY","NY0270100",205199
"GLENDALE POLICE DEPARTMENT","CA","GLENDALE POLICE DEPARTMENTCA","CA0192500",200168
"HUNTINGTON BEACH POLICE DEPARTMENT","CA","HUNTINGTON BEACH POLICE DEPARTMENTCA","CA0301000",200128
"YONKERS POLICE DEPARTMENT","NY","YONKERS POLICE DEPARTMENTNY","NY0590700",200816
"SALT LAKE CITY POLICE DEPARTMENT","UT","SALT LAKE CITY POLICE DEPARTMENTUT","UT0180300",202187
"AMARILLO POLICE DEPARTMENT","TX","AMARILLO POLICE DEPARTMENTTX","TX1880100",101930
"GRAND RAPIDS POLICE DEPARTMENT","MI","GRAND RAPIDS POLICE DEPARTMENTMI","MI4143600",202513
"LITTLE ROCK POLICE DEPARTMENT","AR","LITTLE ROCK POLICE DEPARTMENTAR","AR0600200",197688
"MONTGOMERY POLICE DEPARTMENT","AL","MONTGOMERY POLICE DEPARTMENTAL","AL0030100",197755
"AKRON POLICE DEPARTMENT","OH","AKRON POLICE DEPARTMENTOH","OH0770100",197433
"HUNTSVILLE POLICE DEPARTMENT","AL","HUNTSVILLE POLICE DEPARTMENTAL","AL0470100",200771
"GRAND PRAIRIE POLICE DEPARTMENT","TX","GRAND PRAIRIE POLICE DEPARTMENTTX","TX0571200",135017
"COLUMBUS POLICE DEPARTMENT","GA","COLUMBUS POLICE DEPARTMENTGA","GA1060100",195998
"PORT ST. LUCIE POLICE DEPARTMENT","FL","PORT ST. LUCIE POLICE DEPARTMENTFL","FL0560200",206450
"TALLAHASSEE POLICE DEPARTMENT","FL","TALLAHASSEE POLICE DEPARTMENTFL","FL0370300",196012
"SHREVEPORT POLICE DEPARTMENT","LA","SHREVEPORT POLICE DEPARTMENTLA","LA0090100",183057
"MCKINNEY POLICE DEPARTMENT","TX","MCKINNEY POLICE DEPARTMENTTX","TX0430500",208335
"KNOXVILLE POLICE DEPARTMENT","TN","KNOXVILLE POLICE DEPARTMENTTN","TN0470100",188672
"TEMPE POLICE DEPARTMENT","AZ","TEMPE POLICE DEPARTMENTAZ","AZ0072900",199935
"FRISCO POLICE DEPARTMENT","TX","FRISCO POLICE DEPARTMENTTX","TX0430400",130768
"CAPE CORAL POLICE DEPARTMENT","FL","CAPE CORAL POLICE DEPARTMENTFL","FL0360200",199503
"WORCESTER POLICE DEPARTMENT","MA","WORCESTER POLICE DEPARTMENTMA","MA0146000",184850
"BROWNSVILLE POLICE DEPARTMENT","TX","BROWNSVILLE POLICE DEPARTMENTTX","TX0310100",183627
"FORT LAUDERDALE POLICE DEPARTMENT","FL","FORT LAUDERDALE POLICE DEPARTMENTFL","FL0060300",184347
"CHATTANOOGA POLICE DEPARTMENT","TN","CHATTANOOGA POLICE DEPARTMENTTN","TN0330100",184211
"SIOUX FALLS POLICE DEPARTMENT","SD","SIOUX FALLS POLICE DEPARTMENTSD","SD0490200",156915
"PROVIDENCE POLICE DEPARTMENT","RI","PROVIDENCE POLICE DEPARTMENTRI","RI0040900",179603
"RANCHO CUCAMONGA","CA","RANCHO CUCAMONGACA","CA0361600",0
"NEWPORT NEWS POLICE DEPARTMENT","VA","NEWPORT NEWS POLICE DEPARTMENTVA","VA1160000",178896
"VANCOUVER POLICE DEPARTMENT","WA","VANCOUVER POLICE DEPARTMENTWA","WA0060300",186440
"ONTARIO POLICE DEPARTMENT","CA","ONTARIO POLICE DEPARTMENTCA","CA0360700",187464
"OCEANSIDE POLICE DEPARTMENT","CA","OCEANSIDE POLICE DEPARTMENTCA","CA0371000",176616
"SANTA ROSA POLICE DEPARTMENT","CA","SANTA ROSA POLICE DEPARTMENTCA","CA0490500",176932
"GARDEN GROVE POLICE DEPARTMENT","CA","GARDEN GROVE POLICE DEPARTMENTCA","CA0300900",171698
"ELK GROVE POLICE DEPARTMENT","CA","ELK GROVE POLICE DEPARTMENTCA","CA0340H00",177331
"PEMBROKE PINES POLICE DEPARTMENT","FL","PEMBROKE PINES POLICE DEPARTMENTFL","FL0060800",175757
"SALEM POLICE DEPARTMENT","OR","SALEM POLICE DEPARTMENTOR","OR0240200",148166
"EUGENE POLICE DEPARTMENT","OR","EUGENE POLICE DEPARTMENTOR","OR0200200",174513
"CARY POLICE DEPARTMENT","NC","CARY POLICE DEPARTMENTNC","NC0920300",172079
"PEORIA POLICE DEPARTMENT","AZ","PEORIA POLICE DEPARTMENTAZ","AZ0072100",178486
"CORONA POLICE DEPARTMENT","CA","CORONA POLICE DEPARTMENTCA","CA0331500",171848
"SPRINGFIELD POLICE DEPARTMENT","MO","SPRINGFIELD POLICE DEPARTMENTMO","MO0390300",168854
"FORT COLLINS POLICE DEPARTMENT","CO","FORT COLLINS POLICE DEPARTMENTCO","CO0350300",173274
"JACKSON POLICE DEPARTMENT","MS","JACKSON POLICE DEPARTMENTMS","MS0250100",158622
"HAYWARD POLICE DEPARTMENT","CA","HAYWARD POLICE DEPARTMENTCA","CA0010600",160891
"ALEXANDRIA POLICE DEPARTMENT","VA","ALEXANDRIA POLICE DEPARTMENTVA","VA0990000",161525
"SALINAS POLICE DEPARTMENT","CA","SALINAS POLICE DEPARTMENTCA","CA0270800",155984
"PALMDALE POLICE DEPARTMENT","CA","PALMDALE POLICE DEPARTMENTCA","CA0195000",0
"LAKEWOOD POLICE DEPARTMENT","CO","LAKEWOOD POLICE DEPARTMENTCO","CO0300400",159719
"CLARKSVILLE POLICE DEPARTMENT","TN","CLARKSVILLE POLICE DEPARTMENTTN","TN0630100",161167
"SUNNYVALE DEPARTMENT OF PUBLIC SAFETY","CA","SUNNYVALE DEPARTMENT OF PUBLIC SAFETYCA","CA0431600",154133
"HOLLYWOOD POLICE DEPARTMENT","FL","HOLLYWOOD POLICE DEPARTMENTFL","FL0060500",156434
"SPRINGFIELD POLICE DEPARTMENT","MA","SPRINGFIELD POLICE DEPARTMENTMA","MA0071800",153084
"PASADENA POLICE DEPARTMENT","TX","PASADENA POLICE DEPARTMENTTX","TX1011500",151421
"POMONA POLICE DEPARTMENT","CA","POMONA POLICE DEPARTMENTCA","CA0195500",151982
"KANSAS CITY POLICE DEPARTMENT","KS","KANSAS CITY POLICE DEPARTMENTKS","KS1050200",153459
"ESCONDIDO POLICE DEPARTMENT","CA","ESCONDIDO POLICE DEPARTMENTCA","CA0370600",152446
"KILLEEN POLICE DEPARTMENT","TX","KILLEEN POLICE DEPARTMENTTX","TX0140400",154417
"TORRANCE POLICE DEPARTMENT","CA","TORRANCE POLICE DEPARTMENTCA","CA0197200",143421
"BELLEVUE POLICE DEPARTMENT","WA","BELLEVUE POLICE DEPARTMENTWA","WA0170200",150548
"PATERSON POLICE","NJ","PATERSON POLICENJ","NJ0160800",144947
"BRIDGEPORT POLICE DEPARTMENT","CT","BRIDGEPORT POLICE DEPARTMENTCT","CT0001500",144350
"ROCKFORD POLICE DEPARTMENT","IL","ROCKFORD POLICE DEPARTMENTIL","IL1010400",144792
"MESQUITE POLICE DEPARTMENT","TX","MESQUITE POLICE DEPARTMENTTX","TX0571800",141187
"MCALLEN POLICE DEPARTMENT","TX","MCALLEN POLICE DEPARTMENTTX","TX1080800",144569
"PASADENA POLICE DEPARTMENT","CA","PASADENA POLICE DEPARTMENTCA","CA0195300",141473
"SYRACUSE POLICE DEPARTMENT","NY","SYRACUSE POLICE DEPARTMENTNY","NY0330100",142011
"MIRAMAR POLICE DEPARTMENT","FL","MIRAMAR POLICE DEPARTMENTFL","FL0062200",143470
"FULLERTON POLICE DEPARTMENT","CA","FULLERTON POLICE DEPARTMENTCA","CA0300800",139011
"ORANGE POLICE DEPARTMENT","CA","ORANGE POLICE DEPARTMENTCA","CA0301500",138846
"MURFREESBORO POLICE DEPARTMENT","TN","MURFREESBORO POLICE DEPARTMENTTN","TN0750100",151769
"DAYTON POLICE DEPARTMENT","OH","DAYTON POLICE DEPARTMENTOH","OH0570200",140193
"MIDLAND POLICE DEPARTMENT","TX","MIDLAND POLICE DEPARTMENTTX","TX1650100",150529
"THORNTON POLICE DEPARTMENT","CO","THORNTON POLICE DEPARTMENTCO","CO0010400",144156
"DENTON POLICE DEPARTMENT","TX","DENTON POLICE DEPARTMENTTX","TX0610200",144569
"CARROLLTON POLICE DEPARTMENT","TX","CARROLLTON POLICE DEPARTMENTTX","TX0570400",83926
"WACO POLICE DEPARTMENT","TX","WACO POLICE DEPARTMENTTX","TX1551200",140870
"ROSEVILLE POLICE DEPARTMENT","CA","ROSEVILLE POLICE DEPARTMENTCA","CA0310500",144128
"WEST VALLEY CITY POLICE DEPARTMENT","UT","WEST VALLEY CITY POLICE DEPARTMENTUT","UT0182500",135887
"CHARLESTON POLICE DEPARTMENT","SC","CHARLESTON POLICE DEPARTMENTSC","SC0100100",129739
"SURPRISE POLICE DEPARTMENT","AZ","SURPRISE POLICE DEPARTMENTAZ","AZ0072700",144620
"WARREN POLICE DEPARTMENT","MI","WARREN POLICE DEPARTMENTMI","MI5080600",133928
"CORAL SPRINGS POLICE DEPARTMENT","FL","CORAL SPRINGS POLICE DEPARTMENTFL","FL0062800",135027
"VISALIA DEPARTMENT OF PUBLIC SAFETY","CA","VISALIA DEPARTMENT OF PUBLIC SAFETYCA","CA0540700",135733
"HAMPTON POLICE DEPARTMENT","VA","HAMPTON POLICE DEPARTMENTVA","VA1110000",134082
"COLUMBIA POLICE DEPARTMENT","SC","COLUMBIA POLICE DEPARTMENTSC","SC0400100",131185
"GAINESVILLE POLICE DEPARTMENT","FL","GAINESVILLE POLICE DEPARTMENTFL","FL0010100",135076
"STERLING HEIGHTS POLICE DEPARTMENT","MI","STERLING HEIGHTS POLICE DEPARTMENTMI","MI5076500",132745
"CEDAR RAPIDS POLICE DEPARTMENT","IA","CEDAR RAPIDS POLICE DEPARTMENTIA","IA0570100",134330
"STAMFORD POLICE DEPARTMENT","CT","STAMFORD POLICE DEPARTMENTCT","CT0013500",130425
"NEW HAVEN POLICE DEPARTMENT","CT","NEW HAVEN POLICE DEPARTMENTCT","CT0009300",130299
"CONCORD POLICE DEPARTMENT","CA","CONCORD POLICE DEPARTMENTCA","CA0070400",130074
"KENT POLICE DEPARTMENT","WA","KENT POLICE DEPARTMENTWA","WA0170700",133883
"THOUSAND OAKS POLICE DEPARTMENT","CA","THOUSAND OAKS POLICE DEPARTMENTCA","CA0560700",0
"ELIZABETH POLICE","NJ","ELIZABETH POLICENJ","NJ0200400",129518
"SANTA CLARA POLICE DEPARTMENT","CA","SANTA CLARA POLICE DEPARTMENTCA","CA0431400",131976
"LAFAYETTE POLICE DEPARTMENT","LA","LAFAYETTE POLICE DEPARTMENTLA","LA0280300",126679
"ROUND ROCK POLICE DEPARTMENT","TX","ROUND ROCK POLICE DEPARTMENTTX","TX2460500",135776
"SIMI VALLEY POLICE DEPARTMENT","CA","SIMI VALLEY POLICE DEPARTMENTCA","CA0560900",125742
"FARGO POLICE DEPARTMENT","ND","FARGO POLICE DEPARTMENTND","ND0090200",126927
"NORMAN POLICE DEPARTMENT","OK","NORMAN POLICE DEPARTMENTOK","OK0140200",126480
"PEARLAND POLICE DEPARTMENT","TX","PEARLAND POLICE DEPARTMENTTX","TX0201000",119634
"BERKELEY POLICE DEPARTMENT","CA","BERKELEY POLICE DEPARTMENTCA","CA0010300",122346
"COLUMBIA POLICE DEPARTMENT","MO","COLUMBIA POLICE DEPARTMENTMO","MO0100200",124829
"VICTORVILLE POLICE DEPARTMENT","CA","VICTORVILLE POLICE DEPARTMENTCA","CA0361200",0
"HARTFORD POLICE DEPARTMENT","CT","HARTFORD POLICE DEPARTMENTCT","CT0006400",121749
"VALLEJO POLICE DEPARTMENT","CA","VALLEJO POLICE DEPARTMENTCA","CA0480700",122326
"ANN ARBOR POLICE DEPARTMENT","MI","ANN ARBOR POLICE DEPARTMENTMI","MI8121800",120647
"ABILENE POLICE DEPARTMENT","TX","ABILENE POLICE DEPARTMENTTX","TX2210100",118336
"ALLENTOWN POLICE DEPARTMENT","PA","ALLENTOWN POLICE DEPARTMENTPA","PA0390100",121818
"AMHERST TOWN POLICE DEPARTMENT","NY","AMHERST TOWN POLICE DEPARTMENTNY","NY0145100",121304
"WILMINGTON POLICE DEPARTMENT","NC","WILMINGTON POLICE DEPARTMENTNC","NC0650200",125794
"ARVADA POLICE DEPARTMENT","CO","ARVADA POLICE DEPARTMENTCO","CO0300100",119700
"ODESSA POLICE DEPARTMENT","TX","ODESSA POLICE DEPARTMENTTX","TX0680200",124059
"RICHARDSON POLICE DEPARTMENT","TX","RICHARDSON POLICE DEPARTMENTTX","TX0572000",88492
"BEAUMONT POLICE DEPARTMENT","TX","BEAUMONT POLICE DEPARTMENTTX","TX1230100",116766
"EVANSVILLE POLICE","IN","EVANSVILLE POLICEIN","IN0820100",117747
"PROVO POLICE DEPARTMENT","UT","PROVO POLICE DEPARTMENTUT","UT0250600",117041
"FAIRFIELD POLICE DEPARTMENT","CA","FAIRFIELD POLICE DEPARTMENTCA","CA0480300",118491
"LANSING POLICE DEPARTMENT","MI","LANSING POLICE DEPARTMENTMI","MI3351900",113754
"INDEPENDENCE POLICE DEPARTMENT","MO","INDEPENDENCE POLICE DEPARTMENTMO","MO0480600",116648
"ROCHESTER POLICE DEPARTMENT","MN","ROCHESTER POLICE DEPARTMENTMN","MN0550100",120336
"CARLSBAD POLICE DEPARTMENT","CA","CARLSBAD POLICE DEPARTMENTCA","CA0370100",116516
"COLLEGE STATION POLICE DEPARTMENT","TX","COLLEGE STATION POLICE DEPARTMENTTX","TX0210200",120831
"CLEARWATER POLICE DEPARTMENT","FL","CLEARWATER POLICE DEPARTMENTFL","FL0520300",117859
"EL MONTE POLICE DEPARTMENT","CA","EL MONTE POLICE DEPARTMENTCA","CA0192200",115690
"WEST JORDAN POLICE DEPARTMENT","UT","WEST JORDAN POLICE DEPARTMENTUT","UT0180600",117955
"CAMBRIDGE POLICE DEPARTMENT","MA","CAMBRIDGE POLICE DEPARTMENTMA","MA0091100",119938
"MURRIETA POLICE DEPARTMENT","CA","MURRIETA POLICE DEPARTMENTCA","CA0334200",117639
"MIAMI GARDENS POLICE DEPARTMENT","FL","MIAMI GARDENS POLICE DEPARTMENTFL","FL0139700",110284
"COSTA MESA POLICE DEPARTMENT","CA","COSTA MESA POLICE DEPARTMENTCA","CA0300400",113317
"WESTMINSTER POLICE DEPARTMENT","CO","WESTMINSTER POLICE DEPARTMENTCO","CO0010500",69661
"DOWNEY POLICE DEPARTMENT","CA","DOWNEY POLICE DEPARTMENTCA","CA0192000",111054
"ANTIOCH POLICE DEPARTMENT","CA","ANTIOCH POLICE DEPARTMENTCA","CA0070100",112481
"PALM BAY POLICE DEPARTMENT","FL","PALM BAY POLICE DEPARTMENTFL","FL0051200",116897
"NORTH CHARLESTON POLICE DEPARTMENT","SC","NORTH CHARLESTON POLICE DEPARTMENTSC","SC0100800",93203
"HIGH POINT POLICE DEPARTMENT","NC","HIGH POINT POLICE DEPARTMENTNC","NC0410300",108105
"POMPANO BEACH POLICE DEPARTMENT","FL","POMPANO BEACH POLICE DEPARTMENTFL","FL0060700",0
"LOWELL POLICE DEPARTMENT","MA","LOWELL POLICE DEPARTMENTMA","MA0092600",110876
"GRESHAM POLICE DEPARTMENT","OR","GRESHAM POLICE DEPARTMENTOR","OR0260100",109767
"CLOVIS POLICE DEPARTMENT","CA","CLOVIS POLICE DEPARTMENTCA","CA0100100",116809
"PUEBLO POLICE DEPARTMENT","CO","PUEBLO POLICE DEPARTMENTCO","CO0510100",113002
