"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"Boca Raton Police Department","FL","FL0500200","Yes",101583,"https://www.muckrock.com/foi/boca-raton-10271/police-data-collection-request-2021-134865/ ; https://www.muckrock.com/foi/boca-raton-10271/police-data-collection-request-2016-2020-148614/",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,52,58,47,37,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"","Agency did not track use of force by force type from 2016-2020","","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",5,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Use of force form","Incident",""
"Nampa Police Department","ID","ID0140200","Yes",101411,"https://www.muckrock.com/foi/nampa-10755/police-data-collection-request-2016-2021-148612/ ; https://www.muckrock.com/foi/nampa-10755/police-data-collection-request-2021-134783/",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"","","samswey","","","","","","",NA,"","Use of force form","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",35,NA,"","","Use of force form","Incident",""
"Hanover County Sheriff's Office","VA","VA0420000","Yes",100642,"https://www.muckrock.com/foi/hanover-county-992/sheriff-data-collection-request-2021-133647/ ; https://www.muckrock.com/foi/hanover-county-992/sheriff-data-collection-request-2016-2020-148611/",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,4,4,1,5,2,2,NA,"Yes",NA,NA,NA,0,0,0,0,0,0,NA,"ASP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,0,1,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,9,11,13,14,11,8,NA,NA,NA,NA,4,4,2,9,2,3,NA,"","LAW ENFORCEMENT INCIDENTS ONLY. The Hanover County Sheriff’s Office does not oversee any correctional facilities so all use of force incidents were related to law enforcement operations.","samswey","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",10,NA,"Open-Hand;Closed-Hand;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Use of force form","Incident",""
"Rio Rancho Police Department","NM","NM0230600","Yes",100506,"https://www.muckrock.com/foi/rio-rancho-22231/police-data-collection-request-2016-2019-rio-rancho-police-department-148168/ ; https://www.muckrock.com/foi/rio-rancho-22231/police-data-collection-project-rio-rancho-police-department-97871/ https://www.muckrock.com/foi/rio-rancho-22231/police-data-collection-request-2020-109629/ ; https://www.muckrock.com/foi/rio-rancho-22231/police-data-collection-request-2021-134853/",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,12,4,NA,"No",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Bean bag, 40 mm foam exact impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,NA,NA,NA,NA,2,11,NA,NA,15,4,NA,"","","","","@MaryHammond - no data entered","","","","",NA,"@MaryHammond","Documented in arrest report","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",21,NA,"","","Documented in arrest report","Incident",""
"Woodbridge Police Department","NJ","NJ0122500","Yes",100119,"https://www.muckrock.com/foi/woodbridge-384/police-data-collection-request-2013-2020-109630/ ; https://www.muckrock.com/foi/woodbridge-384/police-data-collection-request-2016-2020-148613/ ; https://www.njoag.gov/force/",NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,NA,NA,"No",NA,NA,NA,1,0,2,3,0,0,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,12,14,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,54,67,89,67,54,75,NA,NA,NA,4,10,14,18,4,3,3,"INDIVIDUALIZED via state database with Officer Names","Person-based UOF totals used, no incident based totals provided from 2016-2020","samswey","","","","","","",NA,"","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,79,"Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Use of force form","Incident","Subject"
"Beaverton Police Department","OR","OR0340100","Yes",100085,"https://www.beavertonpolice.org/270/Police-Use-of-Force ; 2021: https://www.beavertonpolice.org/DocumentCenter/View/2025/Use-of-Force-2021---Force-Applications ; https://www.muckrock.com/foi/beaverton-6536/oregon-police-data-collection-beaverton-police-department-116206/",0,2,1,NA,2,1,1,NA,1,NA,2,6,9,NA,8,4,4,34,18,NA,"Yes",2,5,2,2,4,1,3,25,29,NA,"ASP Baton, 40mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,NA,7,2,8,23,13,NA,1,3,3,NA,6,1,NA,NA,11,NA,NA,NA,101,113,111,121,132,NA,136,NA,7,16,18,2,25,8,15,82,71,NA,"","","","","","","","","",NA,"maryhammond","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/",NA,107,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Officer","review"
"Kenosha Police Department","WI","WI0300100","Yes",100005,"https://www.muckrock.com/foi/kenosha-8719/use-of-force-response-to-resistance-guidance-policies-and-data-101460/#file-917306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,43,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,70,NA,NA,NA,NA,NA,NA,NA,83,NA,64,NA,"lists officer names on UOF","only 2019 and partial 2020 data","alliemonck","","@MaryHammond","","","","",NA,"","Use of force form","Officer","Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Not Applicable (Takedown)/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,NA,"","","Use of force form","Incident",""
"Coweta County Sheriff's Office","GA","GA0380000","Yes",99880,"https://www.muckrock.com/foi/coweta-county-4870/sheriff-data-collection-request-2021-133650/ ; https://www.muckrock.com/foi/coweta-county-4870/sheriff-data-collection-request-2016-2020-148991/",NA,NA,NA,4,5,1,3,6,7,NA,NA,NA,NA,20,25,34,31,35,28,NA,"No",NA,NA,NA,1,1,1,0,1,1,NA,"ASP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,21,26,35,31,37,32,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","mhammond","","","","","",NA,"","Use of force form","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",23,8,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident/Officer","review"
"Edison Police","NJ","NJ0120500","Yes",99584,"https://www.muckrock.com/foi/edison-6897/new-jersey-police-data-collection-edison-police-department-117850/ ; https://www.njoag.gov/force/",0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"",1,3,1,2,1,1,0,0,0,1,"Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,1,2,0,2,0,4,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,3,10,2,4,1,3,0,4,2,2,"INDIVIDUALIZED via state database with Officer Names","","","","","","","","",NA,"maryhammond","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Baton;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Baton;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Lawrence Police Department","KS","KS0230100","Yes",99368,"https://lawrenceks.org/wp-content/uploads/2023/07/2022-use-of-force-data.pdf ; https://www.muckrock.com/foi/lawrence-4660/police-data-collection-project-lawrence-police-department-97803/#comms ; https://www.muckrock.com/foi/lawrence-4660/police-data-collection-request-2021-134872/ ; https://lawrenceks.org/wp-content/uploads/2021/01/2020-End-of-Year-Use-of-Force.pdf ; https://lawrenceks.org/wp-content/uploads/2022/10/2021-Use-of-Force-Report.pdf",NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,5,3,5,9,5,7,14,"No",NA,NA,NA,NA,1,NA,1,0,1,NA,"less lethal impact round, ASP, improvised impact weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,5,4,8,6,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,18,17,15,17,20,21,26,NA,NA,NA,15,9,10,15,13,14,18,"Individualized UOF data, no officer names","ORI:KS0230100","alliemonck","","","","","","alliemonck- found taser report and changed to 5, screenshotted report into Google Doc",NA,"@MaryHammond - 2016 report references separate taser report, more than 1?","Use of force form","Incident","Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Not Applicable (Open Hand)/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",NA,NA,"OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Brockton Police Department","MA","MA0120300","Yes",99171,"https://www.muckrock.com/foi/brockton-333/police-data-collection-project-brockton-police-department-97731/ ; https://www.muckrock.com/foi/brockton-333/police-data-collection-request-2021-134858/ ; https://www.muckrock.com/foi/brockton-333/brockton-police-data-collection-2020-135186/",NA,NA,NA,0,0,2,2,2,1,NA,NA,NA,NA,19,28,22,30,25,19,NA,"No",NA,NA,NA,1,3,0,0,1,0,NA,"Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,6,4,13,2,NA,NA,NA,NA,1,2,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,26,45,30,37,42,25,NA,"","gas rounds + oc spray = chemical weapons","samswey","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Bean Bag/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",NA,NA,"OC Spray;Baton;Blunt Object;Taser Discharge;Firearm Display;Firearm Discharge","OC Spray;Baton;Blunt Object;Taser Discharge;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Yuma Police Department","AZ","AZ0140500","Yes",99096,"https://www.muckrock.com/foi/yuma-9514/police-data-collection-project-yuma-police-department-97866/ https://www.muckrock.com/foi/yuma-9514/arizona-police-data-collection-yuma-police-department-117858/ ; https://www.muckrock.com/foi/yuma-9514/police-data-collection-request-2021-134857/",NA,0,0,1,1,2,0,1,1,NA,NA,39,36,19,6,17,7,28,7,NA,"No",NA,4,0,2,0,0,1,6,4,NA,"Impact Weapon, Extended Range Weapon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,1,3,2,4,NA,NA,3,5,0,4,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,43,21,12,19,11,37,18,NA,"","","alliemonck;samswey","Good","@MaryHammond","","maryhammond","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","","",""
"Concord Police Department","NC","NC0130100","Yes",98411,"https://www.muckrock.com/foi/concord-4140/police-data-collection-request-2021-134799/",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"","","","","","","","","",NA,"","Use of force form","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",69,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Use of force form","Incident",""
"Yavapai County Sheriff's Office","AZ","AZ0130000","Yes",98246,"https://www.muckrock.com/foi/yavapai-county-4735/sheriff-data-collection-request-2021-133605/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","","",""
"Lee's Summit Police Department","MO","MO0480800","Yes",98142,"https://www.muckrock.com/foi/missouri-299/police-data-collection-project-lees-summit-police-department-lees-summit-97870/#file-868245 https://www.muckrock.com/foi/missouri-299/missouri-police-data-collection-lees-summit-police-department-117855/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,16,9,8,9,5,4,6,NA,"No",3,1,1,1,0,9,5,1,5,NA,"Baton, Bean Bag Round, Stop Sticks",2,8,2,6,3,6,5,6,NA,NA,0,0,0,0,0,0,1,1,2,NA,4,2,4,1,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,14,23,23,17,15,26,18,14,16,NA,"","","samswey","Good","@MaryHammond","","","","",NA,"maryhammond","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Closed Hand/Not Applicable (Leg Restraints)",NA,92,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Officer","review"
"Sarpy County Sheriff's Office","NE","NB0770000","Yes",98100,"https://www.muckrock.com/foi/sarpy-county-21984/sheriff-data-collection-request-2021-133658/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Intermediate Weapons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"","LAW ENFORCEMENT INCIDENTS ONLY. Agency indicates they do not have correctional statistics as this is a different entity.","samswey","","","","","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Not Applicable (Bean Bag)/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/",10,15,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Use of force form","Incident/Officer","review"
"St. Clair County Sheriff's Office","MI","MI7417400","Yes",97735,"https://www.muckrock.com/foi/st-clair-county-16737/sheriff-data-collection-request-2021-133649/",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","","","","","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Not Applicable (Discharge Taser)/Neck Restraints/Takedown/Open Hand/Closed Hand/Not Applicable (Leg Restraints)",14,NA,"","","Use of force form","Incident/Officer","review"
